Player,Games,AvgElo,Wins,Losses,Draws
babyfork,202,1610.0,109,89,4
shalapayuliy,165,1894.4,74,84,7
KAInov,152,2015.7,59,93,0
CactusCream,142,2139.7,61,71,10
jmanette411,141,1040.0,62,75,4
MehdiTayebi1352,134,1868.7,63,62,9
Anonimous1820,132,1851.1,59,70,3
EN2MA,130,1696.4,62,66,2
Francesco0903,124,1533.6,54,70,0
abja40,123,1757.4,63,59,1
deden17,122,1972.2,66,53,3
FZ140305,121,2293.6,41,73,7
jocality,120,1492.2,62,58,0
learnerbudhhi,118,1678.3,55,53,10
CatDevURandom,116,1484.6,51,61,4
yurisepp,115,1838.6,49,62,4
Pantoni,112,1485.4,51,58,3
Alexey_Rus,112,1510.6,51,52,9
Elwero7,112,1529.4,49,61,2
Blauregen,111,2308.0,55,51,5
lossydt,111,1641.4,55,51,5
Antonmcs,109,1513.1,44,58,7
Saeed_tz,109,2124.1,53,50,6
conweezy,108,1450.3,51,55,2
hotrabbit1978,108,1697.0,56,48,4
timurbek,107,2067.5,62,36,9
juguernaut,106,2062.5,46,57,3
Hamad86,106,1665.4,51,55,0
amrit06,103,1381.5,45,55,3
krishradio,101,1567.8,41,57,3
RAA74,100,1847.6,50,47,3
Hpsk,99,1866.2,44,54,1
Cheesy_Matucki,99,1193.1,38,58,3
elbeham,95,1581.7,41,52,2
JoeljesusValencia,94,1107.5,39,50,5
Pjotre1,94,1657.4,45,47,2
FrankyFigs,94,997.8,46,45,3
Derikvand_1999,93,1460.2,44,47,2
AprendiendoAperturas,92,2266.6,43,36,13
Andy_Efremov,92,1669.4,43,46,3
BulletBeni123,92,1965.2,44,42,6
Kinggambit59,92,1702.0,48,41,3
moonreign,91,1833.8,41,48,2
lhmolia,91,1276.5,57,32,2
domes0,90,1682.4,42,48,0
Nena_99,90,1923.1,34,55,1
EikeW95,90,1332.2,45,39,6
Nikolay_Car,89,1900.2,38,48,3
Hendriyono,89,1881.9,43,42,4
OsiGe,88,1822.3,34,45,9
laskmat,87,1852.7,43,41,3
tututu12,86,1790.3,45,36,5
Der_Patzer,86,1931.6,43,40,3
supersmurf999,86,2147.8,45,35,6
LarryLeeJr,86,1794.7,36,49,1
Poerba76,86,1899.1,35,46,5
gambi_shah,86,2285.6,46,30,10
afre1000,85,1686.9,50,33,2
Loks71,84,2163.5,39,37,8
brausefrosch,84,1889.4,41,40,3
kudaliarrinjani,84,2027.3,37,45,2
cimnono,84,1688.7,37,45,2
erer13,84,1629.4,40,41,3
lkosubek,83,1367.3,43,35,5
poiani3527,83,1885.9,35,46,2
ronron247,83,1483.1,44,38,1
dipeshrajput07,83,1620.3,36,47,0
JespushingKe12,83,1615.7,42,38,3
vbar,82,2011.0,32,45,5
chessbhargav,81,1250.2,41,37,3
carthagianwarrior,81,1846.6,32,47,2
draco041372,81,1834.4,39,39,3
Aa1886,81,1767.5,46,34,1
edbalagot,81,1761.0,34,43,4
EasyLanoff,81,1235.9,40,39,2
capogali,80,2086.4,39,33,8
mimokatana,80,1549.5,35,41,4
hesham_Ahmed99,80,2275.9,34,38,8
minermo,80,2283.3,43,30,7
CIENCIANOPAPA,80,2165.2,36,39,5
faiekg,79,1793.9,43,34,2
AtlantisSpringer,79,1700.8,43,34,2
isolated_pawn_7,79,1734.9,32,42,5
danilovbiysk,79,1954.7,40,36,3
DarkCob2,78,1831.1,39,37,2
wachauerlaberl,78,2473.2,40,27,11
Hermanni85,78,2193.3,35,32,11
alexflorus33,77,1622.8,38,36,3
rendykwang,77,1990.2,39,35,3
